ticker,exchange,side,quantity,account,orderType,limit,broker,strategy
STZ,US,SS,14,21386427-4,MKT,,BMTB,SOR
OXY,US,B,6,21386427-3,MKT,,BMTB,SOR
OXM,US,SS,5,21386427-4,MKT,,BMTB,SOR
EA,US,B,18,21386427-3,MKT,,BMTB,SOR
GILD,US,B,4,21386427-3,MKT,,BMTB,SOR
CMA,US,B,27,21386427-3,MKT,,BMTB,SOR
SRPT,US,B,2,21386427-3,MKT,,BMTB,SOR
PRU,US,B,20,21386427-3,MKT,,BMTB,SOR
DVN,US,B,9,21386427-3,MKT,,BMTB,SOR
CDXS,US,SS,11,21386427-4,MKT,,BMTB,SOR
CL,US,B,4,21386427-3,MKT,,BMTB,SOR
CCO,US,B,1,21386427-3,MKT,,BMTB,SOR
DNKN,US,SS,11,21386427-4,MKT,,BMTB,SOR
PTCT,US,B,1,21386427-3,MKT,,BMTB,SOR
GME,US,SS,39,21386427-4,MKT,,BMTB,SOR
UTHR,US,SS,10,21386427-4,MKT,,BMTB,SOR
HZO,US,SS,6,21386427-4,MKT,,BMTB,SOR
FORR,US,SS,1,21386427-4,MKT,,BMTB,SOR
EBIX,US,SS,8,21386427-4,MKT,,BMTB,SOR
GRUB,US,SS,55,21386427-4,MKT,,BMTB,SOR
NEM,US,SS,59,21386427-4,MKT,,BMTB,SOR
OLLI,US,SS,49,21386427-4,MKT,,BMTB,SOR
MRO,US,B,21,21386427-3,MKT,,BMTB,SOR
KR,US,SS,91,21386427-4,MKT,,BMTB,SOR
HRTX,US,SS,18,21386427-4,MKT,,BMTB,SOR
SLB,US,B,6,21386427-3,MKT,,BMTB,SOR
COUP,US,B,1,21386427-3,MKT,,BMTB,SOR
INCY,US,SS,2,21386427-4,MKT,,BMTB,SOR
QRVO,US,SS,32,21386427-4,MKT,,BMTB,SOR
CVX,US,B,2,21386427-3,MKT,,BMTB,SOR
GPS,US,B,9,21386427-3,MKT,,BMTB,SOR
DXC,US,B,6,21386427-3,MKT,,BMTB,SOR
MYGN,US,SS,28,21386427-4,MKT,,BMTB,SOR
TSCO,US,B,3,21386427-3,MKT,,BMTB,SOR
COST,US,B,1,21386427-3,MKT,,BMTB,SOR
PPG,US,SS,25,21386427-4,MKT,,BMTB,SOR
JWN,US,SS,74,21386427-4,MKT,,BMTB,SOR
UPS,US,B,2,21386427-3,MKT,,BMTB,SOR
EL,US,B,1,21386427-3,MKT,,BMTB,SOR
URBN,US,SS,50,21386427-4,MKT,,BMTB,SOR
VZ,US,SS,39,21386427-4,MKT,,BMTB,SOR
FUL,US,SS,8,21386427-4,MKT,,BMTB,SOR
CWST,US,SS,11,21386427-4,MKT,,BMTB,SOR
T,US,B,7,21386427-3,MKT,,BMTB,SOR
DISH,US,SS,25,21386427-4,MKT,,BMTB,SOR
TRUP,US,SS,7,21386427-4,MKT,,BMTB,SOR
XON,US,B,1,21386427-3,MKT,,BMTB,SOR
AMT,US,SS,13,21386427-4,MKT,,BMTB,SOR
GDDY,US,B,5,21386427-3,MKT,,BMTB,SOR
DELL,US,B,4,21386427-3,MKT,,BMTB,SOR
HUM,US,B,6,21386427-3,MKT,,BMTB,SOR
STT,US,B,5,21386427-3,MKT,,BMTB,SOR
ICPT,US,SS,12,21386427-4,MKT,,BMTB,SOR
LRN,US,SS,9,21386427-4,MKT,,BMTB,SOR
FGEN,US,SS,16,21386427-4,MKT,,BMTB,SOR
AVY,US,SS,14,21386427-4,MKT,,BMTB,SOR
NBL,US,B,11,21386427-3,MKT,,BMTB,SOR
NCLH,US,SS,1,21386427-4,MKT,,BMTB,SOR
CNC,US,SS,66,21386427-4,MKT,,BMTB,SOR
BBX,US,SS,4,21386427-4,MKT,,BMTB,SOR
BMRN,US,SS,25,21386427-4,MKT,,BMTB,SOR
ENTA,US,SS,7,21386427-4,MKT,,BMTB,SOR
USB,US,SS,53,21386427-4,MKT,,BMTB,SOR
SIRI,US,B,45,21386427-3,MKT,,BMTB,SOR
CTSH,US,B,4,21386427-3,MKT,,BMTB,SOR
AIZ,US,SS,13,21386427-4,MKT,,BMTB,SOR
EOG,US,B,2,21386427-3,MKT,,BMTB,SOR
OPTN,US,SS,5,21386427-4,MKT,,BMTB,SOR
SGMS,US,SS,1,21386427-4,MKT,,BMTB,SOR
MTCH,US,SS,42,21386427-4,MKT,,BMTB,SOR
MAT,US,SS,104,21386427-4,MKT,,BMTB,SOR
ALGN,US,B,1,21386427-3,MKT,,BMTB,SOR
CHD,US,SS,40,21386427-4,MKT,,BMTB,SOR
DPZ,US,B,1,21386427-3,MKT,,BMTB,SOR
ANTM,US,B,1,21386427-3,MKT,,BMTB,SOR
APA,US,B,10,21386427-3,MKT,,BMTB,SOR
HPE,US,SS,103,21386427-4,MKT,,BMTB,SOR
K,US,SS,36,21386427-4,MKT,,BMTB,SOR
HAL,US,B,12,21386427-3,MKT,,BMTB,SOR
BHVN,US,SS,21,21386427-4,MKT,,BMTB,SOR
CTL,US,SS,233,21386427-4,MKT,,BMTB,SOR
TSN,US,SS,27,21386427-4,MKT,,BMTB,SOR
MMM,US,B,1,21386427-3,MKT,,BMTB,SOR
LCI,US,SS,27,21386427-4,MKT,,BMTB,SOR
JPM,US,B,2,21386427-3,MKT,,BMTB,SOR
ATHX,US,B,1,21386427-3,MKT,,BMTB,SOR
COP,US,B,5,21386427-3,MKT,,BMTB,SOR
IONS,US,SS,12,21386427-4,MKT,,BMTB,SOR
TIF,US,B,3,21386427-3,MKT,,BMTB,SOR
MTB,US,SS,5,21386427-4,MKT,,BMTB,SOR
REGN,US,B,1,21386427-3,MKT,,BMTB,SOR
CNTY,US,SS,2,21386427-4,MKT,,BMTB,SOR
TGNA,US,SS,46,21386427-4,MKT,,BMTB,SOR
HCA,US,B,2,21386427-3,MKT,,BMTB,SOR
CPRT,US,SS,36,21386427-4,MKT,,BMTB,SOR
SCOR,US,SS,2,21386427-4,MKT,,BMTB,SOR
HIG,US,SS,36,21386427-4,MKT,,BMTB,SOR
SRCL,US,SS,1,21386427-4,MKT,,BMTB,SOR
TGT,US,SS,28,21386427-4,MKT,,BMTB,SOR
TNDM,US,B,4,21386427-3,MKT,,BMTB,SOR
UNH,US,B,1,21386427-3,MKT,,BMTB,SOR
NYT,US,B,2,21386427-3,MKT,,BMTB,SOR
CISN,US,SS,13,21386427-4,MKT,,BMTB,SOR
ADSK,US,SS,20,21386427-4,MKT,,BMTB,SOR
FIT,US,SS,5,21386427-4,MKT,,BMTB,SOR
MET,US,B,5,21386427-3,MKT,,BMTB,SOR
LUV,US,SS,27,21386427-4,MKT,,BMTB,SOR
BIIB,US,B,1,21386427-3,MKT,,BMTB,SOR
ERI,US,SS,39,21386427-4,MKT,,BMTB,SOR
AOBC,US,B,2,21386427-3,MKT,,BMTB,SOR
HDS,US,SS,38,21386427-4,MKT,,BMTB,SOR
TMO,US,B,1,21386427-3,MKT,,BMTB,SOR
XOM,US,B,3,21386427-3,MKT,,BMTB,SOR
RL,US,SS,32,21386427-4,MKT,,BMTB,SOR
OCUL,US,SS,17,21386427-4,MKT,,BMTB,SOR
JNJ,US,B,2,21386427-3,MKT,,BMTB,SOR
ODP,US,SS,15,21386427-4,MKT,,BMTB,SOR
TJX,US,B,5,21386427-3,MKT,,BMTB,SOR
SCS,US,SS,41,21386427-4,MKT,,BMTB,SOR
NTRA,US,SS,18,21386427-4,MKT,,BMTB,SOR
EIX,US,B,4,21386427-3,MKT,,BMTB,SOR
UNP,US,B,1,21386427-3,MKT,,BMTB,SOR
DRI,US,B,2,21386427-3,MKT,,BMTB,SOR
JBLU,US,SS,177,21386427-4,MKT,,BMTB,SOR
CSCO,US,B,5,21386427-3,MKT,,BMTB,SOR
D,US,SS,18,21386427-4,MKT,,BMTB,SOR
CVA,US,SS,18,21386427-4,MKT,,BMTB,SOR
COF,US,B,19,21386427-3,MKT,,BMTB,SOR
BOOT,US,SS,17,21386427-4,MKT,,BMTB,SOR
AMGN,US,SS,12,21386427-4,MKT,,BMTB,SOR
GSAT,US,B,3,21386427-3,MKT,,BMTB,SOR
HRB,US,SS,68,21386427-4,MKT,,BMTB,SOR
PNC,US,B,2,21386427-3,MKT,,BMTB,SOR
KMX,US,B,3,21386427-3,MKT,,BMTB,SOR
AIG,US,B,4,21386427-3,MKT,,BMTB,SOR
KSS,US,B,5,21386427-3,MKT,,BMTB,SOR
PM,US,SS,40,21386427-4,MKT,,BMTB,SOR
LH,US,SS,8,21386427-4,MKT,,BMTB,SOR
VHC,US,B,1,21386427-3,MKT,,BMTB,SOR
FMC,US,B,3,21386427-3,MKT,,BMTB,SOR
IAC,US,B,8,21386427-3,MKT,,BMTB,SOR
ULTA,US,SS,12,21386427-4,MKT,,BMTB,SOR
EMR,US,SS,46,21386427-4,MKT,,BMTB,SOR
ADS,US,B,10,21386427-3,MKT,,BMTB,SOR
PRTY,US,SS,2,21386427-4,MKT,,BMTB,SOR
KMI,US,B,12,21386427-3,MKT,,BMTB,SOR
FB,US,B,2,21386427-3,MKT,,BMTB,SOR
SWX,US,SS,5,21386427-4,MKT,,BMTB,SOR
OMC,US,SS,30,21386427-4,MKT,,BMTB,SOR
MO,US,B,6,21386427-3,MKT,,BMTB,SOR
CVS,US,B,4,21386427-3,MKT,,BMTB,SOR
CCL,US,B,2,21386427-3,MKT,,BMTB,SOR
AMC,US,SS,33,21386427-4,MKT,,BMTB,SOR
MMC,US,B,18,21386427-3,MKT,,BMTB,SOR
VG,US,SS,50,21386427-4,MKT,,BMTB,SOR
DUK,US,SS,25,21386427-4,MKT,,BMTB,SOR
LMNX,US,SS,5,21386427-4,MKT,,BMTB,SOR
SEAS,US,SS,40,21386427-4,MKT,,BMTB,SOR
RSG,US,B,14,21386427-3,MKT,,BMTB,SOR
INVA,US,SS,10,21386427-4,MKT,,BMTB,SOR
BBY,US,B,4,21386427-3,MKT,,BMTB,SOR
M,US,B,16,21386427-3,MKT,,BMTB,SOR
CASS,US,SS,1,21386427-4,MKT,,BMTB,SOR
DIS,US,B,2,21386427-3,MKT,,BMTB,SOR
CMCSA,US,B,5,21386427-3,MKT,,BMTB,SOR
DE,US,B,1,21386427-3,MKT,,BMTB,SOR
LB,US,SS,128,21386427-4,MKT,,BMTB,SOR
AEP,US,SS,15,21386427-4,MKT,,BMTB,SOR
HSY,US,B,2,21386427-3,MKT,,BMTB,SOR
DOVA,US,SS,5,21386427-4,MKT,,BMTB,SOR
MCO,US,B,14,21386427-3,MKT,,BMTB,SOR
HLT,US,BS,35,21386427-4,MKT,,BMTB,SOR
HLT,US,B,32,21386427-3,MKT,,BMTB,SOR
CDNS,US,BS,50,21386427-4,MKT,,BMTB,SOR
CDNS,US,B,45,21386427-3,MKT,,BMTB,SOR
RNST,US,B,4,21386427-3,MKT,,BMTB,SOR
MEDP,US,B,8,21386427-3,MKT,,BMTB,SOR
CCS,US,BS,11,21386427-4,MKT,,BMTB,SOR
CCS,US,B,11,21386427-3,MKT,,BMTB,SOR
OCFC,US,B,5,21386427-3,MKT,,BMTB,SOR
UCBI,US,B,8,21386427-3,MKT,,BMTB,SOR
NWBI,US,BS,13,21386427-4,MKT,,BMTB,SOR
NWBI,US,B,13,21386427-3,MKT,,BMTB,SOR
CBTX,US,B,1,21386427-3,MKT,,BMTB,SOR
BR,US,BS,13,21386427-4,MKT,,BMTB,SOR
BR,US,B,13,21386427-3,MKT,,BMTB,SOR
HLI,US,B,6,21386427-3,MKT,,BMTB,SOR
EPAM,US,BS,7,21386427-4,MKT,,BMTB,SOR
EPAM,US,B,6,21386427-3,MKT,,BMTB,SOR
THO,US,B,22,21386427-3,MKT,,BMTB,SOR
APH,US,BS,31,21386427-4,MKT,,BMTB,SOR
APH,US,B,29,21386427-3,MKT,,BMTB,SOR
RDN,US,BS,35,21386427-4,MKT,,BMTB,SOR
RDN,US,B,35,21386427-3,MKT,,BMTB,SOR
PLD,US,BS,38,21386427-4,MKT,,BMTB,SOR
PLD,US,B,34,21386427-3,MKT,,BMTB,SOR
FSP,US,B,7,21386427-3,MKT,,BMTB,SOR
SLAB,US,BS,8,21386427-4,MKT,,BMTB,SOR
SLAB,US,B,8,21386427-3,MKT,,BMTB,SOR
UMBF,US,BS,4,21386427-4,MKT,,BMTB,SOR
UMBF,US,B,4,21386427-3,MKT,,BMTB,SOR
BAH,US,BS,32,21386427-4,MKT,,BMTB,SOR
BAH,US,B,30,21386427-3,MKT,,BMTB,SOR
DRE,US,BS,54,21386427-4,MKT,,BMTB,SOR
DRE,US,B,55,21386427-3,MKT,,BMTB,SOR
WWD,US,B,5,21386427-3,MKT,,BMTB,SOR
HASI,US,BS,6,21386427-4,MKT,,BMTB,SOR
HASI,US,B,6,21386427-3,MKT,,BMTB,SOR
TXN,US,BS,25,21386427-4,MKT,,BMTB,SOR
TXN,US,B,23,21386427-3,MKT,,BMTB,SOR
ETM,US,BS,32,21386427-4,MKT,,BMTB,SOR
ETM,US,B,31,21386427-3,MKT,,BMTB,SOR
ABR,US,BS,35,21386427-4,MKT,,BMTB,SOR
ABR,US,B,34,21386427-3,MKT,,BMTB,SOR
BDX,US,BS,12,21386427-4,MKT,,BMTB,SOR
BDX,US,B,11,21386427-3,MKT,,BMTB,SOR
WHR,US,BS,19,21386427-4,MKT,,BMTB,SOR
WHR,US,B,18,21386427-3,MKT,,BMTB,SOR
HPP,US,BS,18,21386427-4,MKT,,BMTB,SOR
HPP,US,B,17,21386427-3,MKT,,BMTB,SOR
KBR,US,BS,24,21386427-4,MKT,,BMTB,SOR
KBR,US,B,24,21386427-3,MKT,,BMTB,SOR
TDY,US,BS,4,21386427-4,MKT,,BMTB,SOR
TDY,US,B,4,21386427-3,MKT,,BMTB,SOR
ARW,US,B,12,21386427-3,MKT,,BMTB,SOR
ARNC,US,BS,90,21386427-4,MKT,,BMTB,SOR
ARNC,US,B,88,21386427-3,MKT,,BMTB,SOR
PFPT,US,BS,18,21386427-4,MKT,,BMTB,SOR
PFPT,US,B,17,21386427-3,MKT,,BMTB,SOR
CLGX,US,B,9,21386427-3,MKT,,BMTB,SOR
GPK,US,BS,82,21386427-4,MKT,,BMTB,SOR
GPK,US,B,84,21386427-3,MKT,,BMTB,SOR
MRCY,US,BS,8,21386427-4,MKT,,BMTB,SOR
MRCY,US,B,8,21386427-3,MKT,,BMTB,SOR
BAX,US,B,34,21386427-3,MKT,,BMTB,SOR
INVH,US,BS,22,21386427-4,MKT,,BMTB,SOR
INVH,US,B,101,21386427-3,MKT,,BMTB,SOR
CINF,US,B,13,21386427-3,MKT,,BMTB,SOR
HHC,US,B,3,21386427-3,MKT,,BMTB,SOR
ARMK,US,B,25,21386427-3,MKT,,BMTB,SOR
PB,US,B,8,21386427-3,MKT,,BMTB,SOR
HGV,US,B,20,21386427-3,MKT,,BMTB,SOR
CAR,US,B,20,21386427-3,MKT,,BMTB,SOR
AFG,US,B,6,21386427-3,MKT,,BMTB,SOR
MLR,US,B,2,21386427-3,MKT,,BMTB,SOR
STMP,US,BS,13,21386427-4,MKT,,BMTB,SOR
STMP,US,B,12,21386427-3,MKT,,BMTB,SOR
SASR,US,BS,4,21386427-4,MKT,,BMTB,SOR
SASR,US,B,3,21386427-3,MKT,,BMTB,SOR
NAVI,US,B,30,21386427-3,MKT,,BMTB,SOR
FLIR,US,BS,20,21386427-4,MKT,,BMTB,SOR
FLIR,US,B,19,21386427-3,MKT,,BMTB,SOR
HAS,US,BS,21,21386427-4,MKT,,BMTB,SOR
HAS,US,B,20,21386427-3,MKT,,BMTB,SOR
PAYX,US,BS,40,21386427-4,MKT,,BMTB,SOR
PAYX,US,B,36,21386427-3,MKT,,BMTB,SOR
DHR,US,BS,22,21386427-4,MKT,,BMTB,SOR
DHR,US,B,20,21386427-3,MKT,,BMTB,SOR
EVC,US,BS,7,21386427-4,MKT,,BMTB,SOR
EVC,US,B,6,21386427-3,MKT,,BMTB,SOR
HURN,US,BS,2,21386427-4,MKT,,BMTB,SOR
HURN,US,B,2,21386427-3,MKT,,BMTB,SOR
OPB,US,BS,1,21386427-4,MKT,,BMTB,SOR
OPB,US,B,1,21386427-3,MKT,,BMTB,SOR
VLY,US,B,62,21386427-3,MKT,,BMTB,SOR
DGX,US,B,21,21386427-3,MKT,,BMTB,SOR
PG,US,BS,26,21386427-4,MKT,,BMTB,SOR
PG,US,B,24,21386427-3,MKT,,BMTB,SOR
BXMT,US,BS,25,21386427-4,MKT,,BMTB,SOR
BXMT,US,B,24,21386427-3,MKT,,BMTB,SOR
FRC,US,B,24,21386427-3,MKT,,BMTB,SOR
EQR,US,BS,38,21386427-4,MKT,,BMTB,SOR
EQR,US,B,34,21386427-3,MKT,,BMTB,SOR
CRAI,US,BS,1,21386427-4,MKT,,BMTB,SOR
CRAI,US,B,1,21386427-3,MKT,,BMTB,SOR
JEC,US,BS,21,21386427-4,MKT,,BMTB,SOR
JEC,US,B,20,21386427-3,MKT,,BMTB,SOR
CIT,US,B,8,21386427-3,MKT,,BMTB,SOR
GVA,US,BS,17,21386427-4,MKT,,BMTB,SOR
GVA,US,B,17,21386427-3,MKT,,BMTB,SOR
CMI,US,BS,20,21386427-4,MKT,,BMTB,SOR
CMI,US,B,18,21386427-3,MKT,,BMTB,SOR
ICE,US,BS,35,21386427-4,MKT,,BMTB,SOR
ICE,US,B,31,21386427-3,MKT,,BMTB,SOR
CME,US,BS,15,21386427-4,MKT,,BMTB,SOR
CME,US,B,13,21386427-3,MKT,,BMTB,SOR
CAC,US,BS,1,21386427-4,MKT,,BMTB,SOR
CAC,US,B,1,21386427-3,MKT,,BMTB,SOR
UIS,US,BS,23,21386427-4,MKT,,BMTB,SOR
UIS,US,B,22,21386427-3,MKT,,BMTB,SOR
TRU,US,BS,17,21386427-4,MKT,,BMTB,SOR
TRU,US,B,17,21386427-3,MKT,,BMTB,SOR
IRM,US,B,86,21386427-3,MKT,,BMTB,SOR
PJC,US,BS,1,21386427-4,MKT,,BMTB,SOR
PJC,US,B,1,21386427-3,MKT,,BMTB,SOR
VSAT,US,BS,6,21386427-4,MKT,,BMTB,SOR
VSAT,US,B,6,21386427-3,MKT,,BMTB,SOR
BRO,US,BS,23,21386427-4,MKT,,BMTB,SOR
BRO,US,B,23,21386427-3,MKT,,BMTB,SOR
DGICA,US,B,1,21386427-3,MKT,,BMTB,SOR
GLW,US,BS,118,21386427-4,MKT,,BMTB,SOR
GLW,US,B,106,21386427-3,MKT,,BMTB,SOR
CGNX,US,B,18,21386427-3,MKT,,BMTB,SOR
CRI,US,B,13,21386427-3,MKT,,BMTB,SOR
AFL,US,BS,62,21386427-4,MKT,,BMTB,SOR
AFL,US,B,57,21386427-3,MKT,,BMTB,SOR
FISI,US,BS,1,21386427-4,MKT,,BMTB,SOR
FISI,US,B,1,21386427-3,MKT,,BMTB,SOR
BEAT,US,BS,7,21386427-4,MKT,,BMTB,SOR
BEAT,US,B,7,21386427-3,MKT,,BMTB,SOR
ITRI,US,BS,9,21386427-4,MKT,,BMTB,SOR
ITRI,US,B,9,21386427-3,MKT,,BMTB,SOR
WELL,US,BS,36,21386427-4,MKT,,BMTB,SOR
WELL,US,B,33,21386427-3,MKT,,BMTB,SOR
KO,US,BS,11,21386427-4,MKT,,BMTB,SOR
KO,US,B,54,21386427-3,MKT,,BMTB,SOR
GATX,US,BS,6,21386427-4,MKT,,BMTB,SOR
GATX,US,B,5,21386427-3,MKT,,BMTB,SOR
RHI,US,BS,14,21386427-4,MKT,,BMTB,SOR
RHI,US,B,14,21386427-3,MKT,,BMTB,SOR
WPC,US,BS,7,21386427-4,MKT,,BMTB,SOR
WPC,US,B,15,21386427-3,MKT,,BMTB,SOR
SYK,US,BS,15,21386427-4,MKT,,BMTB,SOR
SYK,US,B,13,21386427-3,MKT,,BMTB,SOR
AVT,US,BS,13,21386427-4,MKT,,BMTB,SOR
AVT,US,B,13,21386427-3,MKT,,BMTB,SOR
FII,US,B,15,21386427-3,MKT,,BMTB,SOR
SCHL,US,BS,10,21386427-4,MKT,,BMTB,SOR
SCHL,US,B,9,21386427-3,MKT,,BMTB,SOR
QLYS,US,BS,10,21386427-4,MKT,,BMTB,SOR
QLYS,US,B,9,21386427-3,MKT,,BMTB,SOR
CERN,US,BS,43,21386427-4,MKT,,BMTB,SOR
CERN,US,B,42,21386427-3,MKT,,BMTB,SOR
ABBV,US,B,40,21386427-3,MKT,,BMTB,SOR
VST,US,BS,65,21386427-4,MKT,,BMTB,SOR
